交通工具,4S店,,,,,,,
交通工具,自行车,,,,,,,
交通工具,摩托车,,,,,,,
,,,,,,,,
景点,景区,,,,,,,
景点,公园,,,,,,,
景点,博物馆,包括博物馆、纪念馆、故居,,,,,,
景点,大型游乐场,,,,,,,
景区,景点, ,,,,,,
景区,古迹,,,,,,,
景区,寺院,,,,,,,
景区,陵园,,,,,,,
,,,,,,,,
,,,,,,,,
办公,写字楼,,,,,,,
,,,,,,,,
金融,银行, ,,,,,,
金融,保险公司,,,,,,,
金融,证券及期货,,,,,,,
金融,拍卖,,,,,,,
金融,典当,,,,,,,
,,,,,,,,
休闲,文化艺术,,,,,,,
休闲,夜生活,,,,,,,
休闲,文化活动中心,,,,,,,
休闲,运动,,,,,,,
休闲,休闲健身,,,,,,,
休闲,美容美发,,,,,,,
休闲,足疗保健,,,,,,,
休闲,洗浴,,,,,,,
文化艺术,音乐厅,,,,,,,
文化艺术,剧场,,,,,,,
文化艺术,戏院,,,,,,,
文化艺术,电影院,,,,,,,
文化艺术,博物馆、美术馆、画廊,,,,,,,
夜生活,酒吧、咖啡馆,,,,,,,
夜生活,茶坊,,,,,,,
夜生活,迪厅、KTV,,,,,,,
夜生活,俱乐部、夜总会,,,,,,,
文化活动中心,文化馆,,,,,,,
文化活动中心,青少年活动中心,,,,,,,
文化活动中心,老年活动中心,,,,,,,
文化活动中心,公益活动团体,,,,,,,
文化活动中心,老年大学,,,,,,,
运动,游泳馆,,,,,,,
运动,乒乓球、羽毛球、篮球场所,,,,,,,
运动,综合体育馆,,,,,,,
运动,足球俱乐部,,,,,,,
运动,网球场,,,,,,,
运动,健美与健身,,,,,,,
运动,攀岩,,,,,,,
运动,蹦极,,,,,,,
运动,户外运动俱乐部,,,,,,,
运动,水上漂流,,,,,,,
运动,热气球俱乐部,,,,,,,
运动,航空滑翔伞俱乐部,,,,,,,
休闲健身,台球,,,,,,,
休闲健身,马术俱乐部,,,,,,,
休闲健身,垂钓,,,,,,,
休闲健身,射击、射箭、击剑,,,,,,,
休闲健身,滚轴、溜冰、滑冰,,,,,,,
休闲健身,滑雪、滑水,,,,,,,
休闲健身,卡丁车、赛车,,,,,,,
休闲健身,高尔夫球,,,,,,,
休闲健身,保龄球,,,,,,,
休闲健身,其他俱乐部,,,,,,,
,,,,,,,,
医药,综合医院,,,,,,,
医药,中医医院,,,,,,,
医药,专科医院,,,,,,,
医药,老年护理医院,,,,,,,
医药,妇幼保健院,,,,,,,
医药,社区医院,,,,,,,
医药,心理咨询,,,,,,,
医药,急救站,,,,,,,
医药,药店,,,,,,,
医药,医保定点药店,,,,,,,
,,,,,,,,
机构,机关,,,,,,,
机构,法院,,,,,,,
机构,邮电局,,,,,,,
机构,律师事务所,,,,,,,
机构,公证处,,,,,,,
机构,教育培训机构,,,,,,,
教育培训机构,幼儿园,,,,,,,
教育培训机构,小学,,,,,,,
教育培训机构,中学,,,,,,,
教育培训机构,大学,,,,,,,
教育培训机构,各类特长培训机构,,,,,,,
教育培训机构,各类职业技能培训机构,,,,,,,
教育培训机构,汽车驾驶培训机构,,,,,,,
